quantity,price_paid_deal,price_paid_non_deal,coupon_value,promotion_type,size1_descr,flavor_descr,formula_descr,household_id,household_size,household_income,age_of_female_head,age_of_male_head,age_and_presence_of_children,male_head_employment,female_head_employment,male_head_education,female_head_education,marital_status,male_head_occupation,female_head_occupation,household_composition,race,hispanic_origin,region,scantrack_market_identifier,fips_state_code,fips_county_code,type_of_residence,kitchen_appliances,tv_items,female_head_birth,male_head_birth,household_internet_connection
2,6.82,0,1,2,16.0 MLOZ,CAKE BATTER,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,39,35,5,1,2,"",10/1/61,1
1,3.5,0,0,1,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,39,35,5,1,2,"",10/1/61,1
1,3.5,0,0,1,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,39,35,5,1,2,"",10/1/61,1
1,0,3,0,,16.0 MLOZ,W-N-C-P-C,REGULAR,2001637,1,27,9,0,9,0,9,0,3,2,12,12,5,1,2,4,,30,13,1,4,3,10/1/36,"",2
1,0,3.99,0,,16.0 MLOZ,AMERICONE DREAM,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
2,0,7.78,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
2,0,7.78,0,,16.0 MLOZ,PUMPKIN CSK,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
1,2.14,0,0,1,16.0 MLOZ,CHC ALMOND NOUGAT,REGULAR,2001878,1,23,0,9,9,9,0,5,0,2,12,,7,1,2,1,,23,1,1,5,3,"",1/1/32,1
1,3.5,0,0,1,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,17,43,6,1,2,10/1/59,"",2
1,3,0,1.25,2,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,17,43,6,1,2,10/1/59,"",2
1,4,0,0.95,2,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,17,43,6,1,2,10/1/59,"",2
1,0,2.99,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,13,135,1,4,1,10/1/68,10/1/68,1
1,0,2.5,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,13,135,1,4,1,10/1/68,10/1/68,1
1,2.27,0,0,1,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,13,135,1,4,1,10/1/68,10/1/68,1
1,2.55,0,0,1,16.0 MLOZ,BANANA SPLIT,REGULAR,2000358,2,27,8,8,9,3,9,6,6,1,2,12,1,1,1,1,52,36,7,1,7,3,1/1/48,10/1/48,2
1,2.56,0,0,1,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2000358,2,27,8,8,9,3,9,6,6,1,2,12,1,1,1,1,52,36,7,1,7,3,1/1/48,10/1/48,2
1,0,3.19,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2000571,1,21,7,0,9,0,9,0,5,4,12,12,5,1,2,1,52,36,67,1,7,2,10/1/55,"",1
1,0,3.64,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2000818,1,15,0,8,9,9,0,5,0,4,12,,7,1,2,2,4,18,97,1,7,3,"",10/1/45,2
2,12,0,0,1,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,26,145,1,7,3,10/1/43,"",1
2,12,0,0,1,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,26,145,1,7,3,10/1/43,"",1
2,12,0,0,1,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,26,145,1,7,3,10/1/43,"",1
1,0,4.19,0,,16.0 MLOZ,COFFEE,REGULAR,2001278,2,15,8,9,9,9,9,5,5,1,12,12,1,1,2,1,52,36,45,1,7,2,10/1/44,10/1/41,1
1,0,2.79,0,,16.0 MLOZ,CHERRY GRCA,REGULAR,2003611,2,27,5,8,9,1,3,4,4,4,2,2,8,1,2,2,2,17,111,1,4,2,10/1/65,10/1/52,2
1,3.99,0,3.99,3,16.0 MLOZ,CHC CHIP C-DH,LIGHT HALF THE FAT,2004690,5,26,5,7,6,2,1,6,3,1,1,3,1,1,2,2,21,55,101,1,7,1,10/1/65,1/1/56,1
1,2.49,0,0,1,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,34,25,1,4,3,10/1/58,10/1/57,1
1,2.99,0,0,1,16.0 MLOZ,PB CUP,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,34,25,1,4,3,10/1/58,10/1/57,1
1,2.49,0,0,1,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,34,25,1,4,3,10/1/58,10/1/57,1
1,3,0,0,1,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,34,3,1,7,2,10/1/42,10/1/24,1
2,0,7.98,0,,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,13,59,1,7,3,10/1/29,10/1/27,1
